Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_bussines_account_001,Chrome 120.0.0.0,,,20-01-2024 22:08:19,20-01-2024 22:08:43,24.271s,PASSED
,,,,,,,
Test Cases/Amazon_bussines_account_001/Amazon_bussines_account_001,Chrome 120.0.0.0,,,20-01-2024 22:08:19,20-01-2024 22:08:43,24.025s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,20-01-2024 22:08:19,20-01-2024 22:08:22,2.581s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 120.0.0.0,,,20-01-2024 22:08:22,20-01-2024 22:08:31,9.430s,PASSED
"click(findTestObject(""Object Repository/Amazon_bussines_account_001/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 120.0.0.0,,,20-01-2024 22:08:31,20-01-2024 22:08:34,2.512s,PASSED
"click(findTestObject(""Object Repository/Amazon_bussines_account_001/Page_Amazon Sign In/span_Shop on Amazon Business""))",Chrome 120.0.0.0,,,20-01-2024 22:08:34,20-01-2024 22:08:37,2.962s,PASSED
"click(findTestObject(""Object Repository/Amazon_bussines_account_001/Page_Amazon Business Sign In/a_Create your free business account""))",Chrome 120.0.0.0,,,20-01-2024 22:08:37,20-01-2024 22:08:40,3.074s,PASSED
"setText(findTestObject(""Object Repository/Amazon_bussines_account_001/Page_Amazon Business/input_businessEmail""), ""rtata@gmail.com"")",Chrome 120.0.0.0,,,20-01-2024 22:08:40,20-01-2024 22:08:41,0.958s,PASSED
"click(findTestObject(""Object Repository/Amazon_bussines_account_001/Page_Amazon Business/span_Get started""))",Chrome 120.0.0.0,,,20-01-2024 22:08:41,20-01-2024 22:08:42,0.603s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,20-01-2024 22:08:42,20-01-2024 22:08:43,1.606s,PASSED
