Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_ALL_option001,Chrome 120.0.0.0,,,20-01-2024 22:15:23,20-01-2024 22:16:59,1m - 36.453s,FAILED
,,,,,,,
Test Cases/Amazon_ALL_option001/Amazon_ALL_option001,Chrome 120.0.0.0,,,20-01-2024 22:15:23,20-01-2024 22:16:59,1m - 36.210s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,20-01-2024 22:15:24,20-01-2024 22:15:30,6.876s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 120.0.0.0,,,20-01-2024 22:15:30,20-01-2024 22:15:41,10.948s,PASSED
"click(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 120.0.0.0,,,20-01-2024 22:15:41,20-01-2024 22:15:47,5.522s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Amazon Sign In/input_email""), ""9014256112"")",Chrome 120.0.0.0,,,20-01-2024 22:15:47,20-01-2024 22:15:49,2.116s,PASSED
"click(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Amazon Sign In/inputcontinue""))",Chrome 120.0.0.0,,,20-01-2024 22:15:49,20-01-2024 22:15:50,1.252s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Amazon Sign In/input_password""), ""1Jx5G2o+w9Dv6alJbP1y5w=="")",Chrome 120.0.0.0,,,20-01-2024 22:15:50,20-01-2024 22:15:52,1.251s,PASSED
"click(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Amazon Sign In/inputsignInSubmit""))",Chrome 120.0.0.0,,,20-01-2024 22:15:52,20-01-2024 22:15:52,0.604s,PASSED
"click(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Online Shopping site in India Shop Onl_10c5f3/i_hm-icon nav-sprite""))",Chrome 120.0.0.0,,,20-01-2024 22:15:52,20-01-2024 22:16:02,9.812s,PASSED
"click(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Online Shopping site in India Shop Onl_10c5f3/a_Best Sellers""))",Chrome 120.0.0.0,,,20-01-2024 22:16:02,20-01-2024 22:16:07,5.051s,PASSED
"click(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Amazon.in Bestsellers The most popular_e30680/i_hm-icon nav-sprite""))",Chrome 120.0.0.0,,,20-01-2024 22:16:07,20-01-2024 22:16:10,2.838s,PASSED
"click(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Amazon.in Bestsellers The most popular_e30680/a_New Releases""))",Chrome 120.0.0.0,,,20-01-2024 22:16:10,20-01-2024 22:16:15,5.514s,PASSED
"click(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Amazon.in Hot New Releases The bestsel_0a911b/i_hm-icon nav-sprite""))",Chrome 120.0.0.0,,,20-01-2024 22:16:15,20-01-2024 22:16:19,3.490s,PASSED
"click(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Amazon.in Hot New Releases The bestsel_0a911b/a_Movers and Shakers""))",Chrome 120.0.0.0,,,20-01-2024 22:16:19,20-01-2024 22:16:22,2.987s,PASSED
"click(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Amazon.in Movers and Shakers The bigge_262905/i_hm-icon nav-sprite""))",Chrome 120.0.0.0,,,20-01-2024 22:16:22,20-01-2024 22:16:24,2.036s,PASSED
"click(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Amazon.in Movers and Shakers The bigge_262905/a_Echo  Alexa""))",Chrome 120.0.0.0,,,20-01-2024 22:16:24,20-01-2024 22:16:25,1.131s,PASSED
"click(findTestObject(""Object Repository/Amazon_ALL_option001/Page_Amazon.in Movers and Shakers The bigge_262905/i_nav-sprite hmenu-arrow-prev""))",Chrome 120.0.0.0,,,20-01-2024 22:16:25,20-01-2024 22:16:59,34.362s,FAILED
